Local time,Open,High,Low,Close,Volume
13.01.2021 06:00:00.000 GMT-0000,103.684,103.707,103.661,103.679,2586.6899
13.01.2021 07:00:00.000 GMT-0000,103.681,103.696,103.610,103.688,4342.04
13.01.2021 08:00:00.000 GMT-0000,103.688,103.816,103.656,103.797,5973.1201
13.01.2021 09:00:00.000 GMT-0000,103.798,103.866,103.776,103.840,7458.4302
13.01.2021 10:00:00.000 GMT-0000,103.840,103.947,103.833,103.927,5763.3301
13.01.2021 11:00:00.000 GMT-0000,103.926,103.997,103.922,103.977,4636.3999
13.01.2021 12:00:00.000 GMT-0000,103.976,103.978,103.837,103.871,6337.1001
13.01.2021 13:00:00.000 GMT-0000,103.872,103.953,103.819,103.870,5475.8301
13.01.2021 14:00:00.000 GMT-0000,103.871,103.958,103.828,103.870,7288.9199
13.01.2021 15:00:00.000 GMT-0000,103.873,103.947,103.746,103.922,6935.1602
13.01.2021 16:00:00.000 GMT-0000,103.921,103.977,103.892,103.904,4863.5801
13.01.2021 17:00:00.000 GMT-0000,103.905,103.978,103.840,103.878,3663.0901
13.01.2021 18:00:00.000 GMT-0000,103.877,103.902,103.770,103.893,3111.27
13.01.2021 19:00:00.000 GMT-0000,103.895,103.910,103.853,103.882,2500.1599
13.01.2021 20:00:00.000 GMT-0000,103.881,103.909,103.850,103.873,2499.54
13.01.2021 21:00:00.000 GMT-0000,103.873,103.907,103.864,103.878,2060.6699
13.01.2021 22:00:00.000 GMT-0000,103.880,103.891,103.844,103.854,1568.4301
13.01.2021 23:00:00.000 GMT-0000,103.860,103.884,103.789,103.826,1687.45
14.01.2021 00:00:00.000 GMT-0000,103.827,103.935,103.798,103.924,4756.1299
14.01.2021 01:00:00.000 GMT-0000,103.924,103.929,103.825,103.844,5762.5801
14.01.2021 02:00:00.000 GMT-0000,103.843,104.196,103.836,104.035,9911.2998
14.01.2021 03:00:00.000 GMT-0000,104.035,104.089,104.022,104.050,3770.9299
14.01.2021 04:00:00.000 GMT-0000,104.051,104.066,104.004,104.029,3543.25
14.01.2021 05:00:00.000 GMT-0000,104.030,104.044,103.955,103.984,4545.75
14.01.2021 06:00:00.000 GMT-0000,103.985,104.064,103.984,104.049,2275.29
14.01.2021 07:00:00.000 GMT-0000,104.049,104.096,104.015,104.029,5392.3701
14.01.2021 08:00:00.000 GMT-0000,104.032,104.053,103.959,103.968,7479.9702
14.01.2021 09:00:00.000 GMT-0000,103.967,104.030,103.959,103.975,5224.1201
14.01.2021 10:00:00.000 GMT-0000,103.976,104.024,103.951,103.986,4025.73
14.01.2021 11:00:00.000 GMT-0000,103.986,104.016,103.972,103.995,3972.6499
14.01.2021 12:00:00.000 GMT-0000,103.995,104.087,103.980,104.079,4886.8301
14.01.2021 13:00:00.000 GMT-0000,104.078,104.159,104.022,104.064,7909.7998
14.01.2021 14:00:00.000 GMT-0000,104.064,104.099,104.000,104.088,6391.7998
14.01.2021 15:00:00.000 GMT-0000,104.090,104.128,103.798,103.841,6009.98
